"","Overall","List_Number"
"Hour...1",100,1
"Day...2",42.6133616734627,1
"PPG_spike_prev...3",5.52663362145754,1
"day...4",1.81380952300743,1
"weekday_num...5",0.921847997025158,1
"month...6",0,1
"PPG_spike_prev_missing...7",0,1
"PPG_spike_prev...8",100,2
"Hour...9",88.8054096692011,2
"Day...10",0,2
"day...11",0,2
"month...12",0,2
"weekday_num...13",0,2
"PPG_spike_prev_missing...14",0,2
"Hour...15",100,3
"Day...16",24.7404327231134,3
"day...17",17.457858574691,3
"weekday_num...18",1.6991117735733,3
"month...19",0,3
"PPG_spike_prev...20",0,3
"PPG_spike_prev_missing...21",0,3
"PPG_spike_prev...22",100,4
"Day...23",26.6666770208472,4
"day...24",17.1428608797043,4
"weekday_num...25",9.52381205396642,4
"Hour...26",1.08843580198251,4
"month...27",0,4
"PPG_spike_prev_missing...28",0,4
"Day...29",100,5
"day...30",55,5
"Hour...31",35,5
"month...32",0,5
"weekday_num...33",0,5
"PPG_spike_prev...34",0,5
"PPG_spike_prev_missing...35",0,5
"Hour...36",100,6
"day...37",58.3067827583048,6
"Day...38",46.755702773028,6
"weekday_num...39",34.7197337140937,6
"PPG_spike_prev...40",21.468122683341,6
"month...41",2.99620895437387,6
"PPG_spike_prev_missing...42",0,6
"Hour...43",100,7
"weekday_num...44",28.9172162851029,7
"Day...45",17.8282062502243,7
"day...46",4.1209936791822,7
"month...47",0,7
"PPG_spike_prev...48",0,7
"PPG_spike_prev_missing...49",0,7
"Hour...50",100,8
"Day...51",0,8
"day...52",0,8
"month...53",0,8
"weekday_num...54",0,8
"PPG_spike_prev...55",0,8
"PPG_spike_prev_missing...56",0,8
"Hour...57",100,9
"PPG_spike_prev...58",11.4929265718404,9
"weekday_num...59",5.08355292568466,9
"Day...60",1.07490825007738,9
"day...61",0.725636484127053,9
"month...62",0,9
"PPG_spike_prev_missing...63",0,9
"Hour...64",100,10
"Day...65",57.270222019907,10
"day...66",22.0879914871013,10
"PPG_spike_prev...67",16.2740595246689,10
"weekday_num...68",5.42898992909717,10
"month...69",0,10
"PPG_spike_prev_missing...70",0,10
"Hour...71",100,11
"Day...72",32.3422018230799,11
"PPG_spike_prev...73",20.5579953518051,11
"weekday_num...74",13.7437976303815,11
"day...75",11.7750766830858,11
"month...76",0,11
"PPG_spike_prev_missing...77",0,11
"Hour...78",100,12
"Day...79",17.9368277400203,12
"PPG_spike_prev...80",0.744935985830406,12
"day...81",0,12
"month...82",0,12
"weekday_num...83",0,12
"PPG_spike_prev_missing...84",0,12
"Day...85",100,13
"day...86",0,13
"month...87",0,13
"Hour...88",0,13
"weekday_num...89",0,13
"PPG_spike_prev...90",0,13
"PPG_spike_prev_missing...91",0,13
"Day...92",100,14
"day...93",55.0000054073339,14
"month...94",0,14
"Hour...95",0,14
"weekday_num...96",0,14
"PPG_spike_prev...97",0,14
"PPG_spike_prev_missing...98",0,14
"Hour...99",100,15
"PPG_spike_prev...100",24.0690529737964,15
"Day...101",0,15
"day...102",0,15
"month...103",0,15
"weekday_num...104",0,15
"PPG_spike_prev_missing...105",0,15
"Hour...106",100,16
"Day...107",0,16
"day...108",0,16
"month...109",0,16
"weekday_num...110",0,16
"PPG_spike_prev...111",0,16
"PPG_spike_prev_missing...112",0,16
"PPG_spike_prev...113",100,17
"Day...114",87.0301553014111,17
"Hour...115",47.6752460512929,17
"weekday_num...116",40.9870765704524,17
"day...117",0,17
"month...118",0,17
"PPG_spike_prev_missing...119",0,17
"Hour...120",100,18
"Day...121",38.7163488873154,18
"day...122",20.4968925473648,18
"weekday_num...123",2.39574104795349,18
"month...124",0,18
"PPG_spike_prev...125",0,18
"PPG_spike_prev_missing...126",0,18
"weekday_num...127",100,19
"Day...128",43.6545154997372,19
"day...129",24.5556624977654,19
"PPG_spike_prev...130",1.59206492141513,19
"Hour...131",1.55849168498183,19
"month...132",0,19
"PPG_spike_prev_missing...133",0,19
"Hour...134",100,20
"weekday_num...135",88.7637402689045,20
"PPG_spike_prev...136",14.8923724194695,20
"Day...137",10.1589151618689,20
"day...138",0,20
"month...139",0,20
"PPG_spike_prev_missing...140",0,20
"Hour...141",100,21
"Day...142",30.3387989021595,21
"weekday_num...143",30.1855017537402,21
"day...144",0,21
"month...145",0,21
"PPG_spike_prev...146",0,21
"PPG_spike_prev_missing...147",0,21
"PPG_spike_prev...148",100,22
"Hour...149",48.5403727108825,22
"Day...150",29.6222597207583,22
"day...151",9.25572186629439,22
"month...152",0,22
"weekday_num...153",0,22
"PPG_spike_prev_missing...154",0,22
"Hour...155",100,23
"Day...156",39.4936273506256,23
"day...157",27.8778524735304,23
"weekday_num...158",4.63144108646608,23
"month...159",0,23
"PPG_spike_prev...160",0,23
"PPG_spike_prev_missing...161",0,23
"Hour...162",100,24
"PPG_spike_prev...163",55.384912508493,24
"weekday_num...164",25.6984781076312,24
"Day...165",22.5813495189041,24
"day...166",11.8813597820708,24
"month...167",0,24
"PPG_spike_prev_missing...168",0,24
"Hour...169",100,25
"weekday_num...170",38.8460678199667,25
"Day...171",0,25
"day...172",0,25
"month...173",0,25
"PPG_spike_prev...174",0,25
"PPG_spike_prev_missing...175",0,25
"Hour...176",100,26
"Day...177",0,26
"day...178",0,26
"month...179",0,26
"weekday_num...180",0,26
"PPG_spike_prev...181",0,26
"PPG_spike_prev_missing...182",0,26
"PPG_spike_prev...183",100,27
"Day...184",0,27
"day...185",0,27
"month...186",0,27
"Hour...187",0,27
"weekday_num...188",0,27
"PPG_spike_prev_missing...189",0,27
"Hour...190",100,28
"Day...191",39.462593196955,28
"weekday_num...192",6.74310672128073,28
"day...193",1.73845641579423,28
"month...194",0,28
"PPG_spike_prev...195",0,28
"PPG_spike_prev_missing...196",0,28
"day...197",100,29
"Day...198",85.7430176184223,29
"Hour...199",20.881776476917,29
"weekday_num...200",8.08042393806655,29
"month...201",0,29
"PPG_spike_prev...202",0,29
"PPG_spike_prev_missing...203",0,29
"Day...204",NA,30
"day...205",NA,30
"month...206",NA,30
"Hour...207",NA,30
"weekday_num...208",NA,30
"PPG_spike_prev...209",NA,30
"PPG_spike_prev_missing...210",NA,30
"weekday_num...211",100,31
"day...212",63.4657668819601,31
"Hour...213",27.6270463259606,31
"PPG_spike_prev...214",24.1736655352155,31
"Day...215",1.24386789513427,31
"month...216",0,31
"PPG_spike_prev_missing...217",0,31
"Hour...218",100,32
"Day...219",0,32
"day...220",0,32
"month...221",0,32
"weekday_num...222",0,32
"PPG_spike_prev...223",0,32
"PPG_spike_prev_missing...224",0,32
"Day...225",100,33
"Hour...226",19.7613305603012,33
"day...227",0,33
"month...228",0,33
"weekday_num...229",0,33
"PPG_spike_prev...230",0,33
"PPG_spike_prev_missing...231",0,33
"Day...232",100,34
"Hour...233",85.468967643393,34
"day...234",67.1723946023644,34
"weekday_num...235",39.7360306344876,34
"PPG_spike_prev...236",0.0296941960563049,34
"month...237",0,34
"PPG_spike_prev_missing...238",0,34
"PPG_spike_prev...239",100,35
"Hour...240",46.4407960417836,35
"Day...241",8.61283495215788,35
"day...242",6.4596263585023,35
"weekday_num...243",2.15320888242337,35
"month...244",0,35
"PPG_spike_prev_missing...245",0,35
"Day...246",NA,36
"day...247",NA,36
"month...248",NA,36
"Hour...249",NA,36
"weekday_num...250",NA,36
"PPG_spike_prev...251",NA,36
"PPG_spike_prev_missing...252",NA,36
"Hour...253",100,37
"Day...254",0,37
"day...255",0,37
"month...256",0,37
"weekday_num...257",0,37
"PPG_spike_prev...258",0,37
"PPG_spike_prev_missing...259",0,37
"weekday_num...260",100,38
"Day...261",64.1427157677245,38
"day...262",40.0076882847907,38
"Hour...263",30.2051571330487,38
