"","Overall","List_Number"
"Animal_Foods_g_8h...1",100,1
"Animal_Foods_bin_8h...2",41.6822297649002,1
"total_g...3",30.1740906520454,1
"Vegetables_g_8h...4",18.8488997646521,1
"Meal_time...5",7.5321731064683,1
"Hour...6",3.77218700262237,1
"Non.insulin.hypoglycemic.agents...7",0,1
"basal_insulin...8",0,1
"bolus_insulin...9",0,1
"Intermediate_insulin...10",0,1
"Staples_g...11",0,1
"Staples_bin...12",0,1
"Vegetables_g...13",0,1
"Vegetables_bin...14",0,1
"Fruits_g...15",0,1
"Fruits_bin...16",0,1
"Animal_Foods_g...17",0,1
"Animal_Foods_bin...18",0,1
"Dairy_Products_g...19",0,1
"Dairy_Products_bin...20",0,1
"Legumes_Nuts_g...21",0,1
"Legumes_Nuts_bin...22",0,1
"Sweets_g...23",0,1
"Sweets_bin...24",0,1
"Day...25",0,1
"basal_insulin_dose...26",0,1
"bolus_insulin_dose...27",0,1
"intermediate_insulin_dose...28",0,1
"Insulin_Basal_Time...29",0,1
"Intermediate_insulin_Time...30",0,1
"Bolus_insulin_Time...31",0,1
"Non_Insulin_Time...32",0,1
"bolus_insulin_dose_time...33",0,1
"basal_insulin_dose_time...34",0,1
"intermediate_insulin_dose_time...35",0,1
"day...36",0,1
"month...37",0,1
"Staples_g_8h...38",0,1
"Staples_g_24h...39",0,1
"Vegetables_g_24h...40",0,1
"Fruits_g_8h...41",0,1
"Fruits_g_24h...42",0,1
"Animal_Foods_g_24h...43",0,1
"Dairy_Products_g_8h...44",0,1
"Dairy_Products_g_24h...45",0,1
"Legumes_Nuts_g_8h...46",0,1
"Legumes_Nuts_g_24h...47",0,1
"Sweets_g_8h...48",0,1
"Sweets_g_24h...49",0,1
"Total_g_8h...50",0,1
"Total_g_24h...51",0,1
"Staples_bin_8h...52",0,1
"Staples_bin_24h...53",0,1
"Vegetables_bin_8h...54",0,1
"Vegetables_bin_24h...55",0,1
"Fruits_bin_8h...56",0,1
"Fruits_bin_24h...57",0,1
"Animal_Foods_bin_24h...58",0,1
"Dairy_Products_bin_8h...59",0,1
"Dairy_Products_bin_24h...60",0,1
"Legumes_Nuts_bin_8h...61",0,1
"Legumes_Nuts_bin_24h...62",0,1
"Sweets_bin_8h...63",0,1
"Sweets_bin_24h...64",0,1
