"List_Nr","ID"
1,"2000_0_20201230"
3,"2001_1_20201117"
4,"2003_0_20210615"
5,"2005_0_20211201"
6,"2014_0_20201224"
7,"2014_1_20210317"
8,"2015_0_20210203"
9,"2015_1_20210219"
10,"2016_0_20201224"
11,"2017_0_20210102"
12,"2017_1_20201118"
13,"2018_0_20210420"
14,"2021_0_20211013"
15,"2025_0_20210506"
16,"2026_0_20210916"
17,"2027_0_20210521"
18,"2030_0_20210531"
19,"2031_0_20210601"
20,"2037_0_20201221"
21,"2045_0_20201216"
22,"2046_0_20201216"
23,"2047_0_20210420"
24,"2050_0_20210510"
25,"2051_0_20210512"
26,"2052_0_20210511"
27,"2053_0_20210518"
28,"2055_0_20210524"
29,"2055_1_20201207"
30,"2056_0_20210524"
31,"2057_0_20210525"
32,"2059_0_20210525"
33,"2060_0_20201214"
34,"2062_0_20210601"
35,"2063_0_20210608"
37,"2065_0_20210615"
39,"2067_0_20210615"
40,"2068_0_20210616"
41,"2069_0_20210621"
42,"2069_1_20210705"
43,"2069_2_20210825"
44,"2071_0_20210705"
45,"2072_0_20210706"
46,"2073_0_20210703"
47,"2074_0_20210707"
48,"2075_0_20210720"
49,"2076_0_20210720"
50,"2077_0_20210803"
51,"2078_0_20210803"
52,"2078_1_20210817"
53,"2080_0_20210816"
54,"2081_0_20210817"
55,"2082_0_20210907"
56,"2083_0_20201214"
57,"2085_0_20200907"
58,"2086_0_20200914"
59,"2087_0_20201012"
60,"2088_0_20201123"
61,"2089_0_20201019"
63,"2091_0_20201029"
64,"2092_0_20201109"
65,"2093_0_20201109"
66,"2094_0_20211109"
67,"2095_0_20201116"
68,"2096_0_20201116"
69,"2097_0_20201116"
70,"2098_0_20201106"
71,"2099_0_20201116"
