"","accuracy","recall","precision","f1_score","auc","ID"
"1",0.3,0.5,0.428571428571429,0.461538461538462,0.416666666666667,"2000_0_20201230"
"2",0.666666666666667,0,NA,NA,0.5,"2001_0_20201102"
"3",0.785714285714286,1,0.7,0.823529411764706,0.846938775510204,"2001_1_20201117"
"4",0.5,0.5,1,0.666666666666667,NA,"2003_0_20210615"
"5",1,1,1,1,NA,"2005_0_20211201"
"6",0.8125,1,0.727272727272727,0.842105263157895,0.8125,"2014_0_20201224"
"7",0.5,0,0,NA,0.625,"2014_1_20210317"
"8",0.642857142857143,0.714285714285714,0.625,0.666666666666667,0.683673469387755,"2015_0_20210203"
"9",0.857142857142857,0.9,0.9,0.9,0.825,"2015_1_20210219"
"10",0.733333333333333,1,0.636363636363636,0.777777777777778,0.946428571428571,"2016_0_20201224"
"11",0.6,0.75,0.6,0.666666666666667,0.75,"2017_0_20210102"
"12",0.533333333333333,0.571428571428571,0.5,0.533333333333333,0.553571428571429,"2017_1_20201118"
"13",0.909090909090909,1,0.875,0.933333333333333,0.875,"2018_0_20210420"
"14",1,1,1,1,NA,"2021_0_20211013"
"15",0.857142857142857,1,0.857142857142857,0.923076923076923,0.5,"2025_0_20210506"
"16",0.444444444444444,0.285714285714286,1,0.444444444444444,0.714285714285714,"2026_0_20210916"
"17",0.5,0.5,1,0.666666666666667,NA,"2027_0_20210521"
"18",0.625,1,0.625,0.769230769230769,0.5,"2030_0_20210531"
"19",0.777777777777778,1,0.777777777777778,0.875,0.5,"2031_0_20210601"
"20",0.583333333333333,1,0.583333333333333,0.736842105263158,0.5,"2037_0_20201221"
"21",0.526315789473684,0.461538461538462,0.75,0.571428571428571,0.576923076923077,"2045_0_20201216"
"22",0.818181818181818,0.75,1,0.857142857142857,0.791666666666667,"2046_0_20201216"
"23",0.769230769230769,1,0.769230769230769,0.869565217391304,0.5,"2047_0_20210420"
"24",0.5,0.428571428571429,0.5,0.461538461538462,0.448979591836735,"2050_0_20210510"
"25",0.636363636363636,0.666666666666667,0.857142857142857,0.75,0.388888888888889,"2051_0_20210512"
"26",0.625,0.4,1,0.571428571428572,0.9,"2052_0_20210511"
"27",0.625,0.833333333333333,0.714285714285714,0.769230769230769,0.333333333333333,"2053_0_20210518"
"28",0.636363636363636,1,0.636363636363636,0.777777777777778,0.5,"2055_0_20210524"
"29",0.529411764705882,0.75,0.5,0.6,0.5625,"2055_1_20201207"
"30",0.625,0.4,1,0.571428571428572,0.7,"2056_0_20210524"
"31",0.5,0.875,0.538461538461538,0.666666666666667,0.197916666666667,"2057_0_20210525"
"32",0.538461538461538,0.75,0.375,0.5,0.625,"2059_0_20210525"
"33",0.818181818181818,1,0.818181818181818,0.9,0.888888888888889,"2060_0_20201214"
"34",0.5,0.428571428571429,0.75,0.545454545454545,0.714285714285714,"2062_0_20210601"
"35",0.142857142857143,1,0.142857142857143,0.25,0.5,"2063_0_20210608"
"36",0.428571428571429,0,NA,NA,0.5,"2064_0_20210608"
"37",0.714285714285714,0.5,0.5,0.5,0.6,"2065_0_20210615"
"38",0.5,0,NA,NA,0.541666666666667,"2066_0_20210615"
"39",0.727272727272727,0.714285714285714,0.833333333333333,0.769230769230769,0.732142857142857,"2067_0_20210615"
"40",0.9,1,0.8,0.888888888888889,0.916666666666667,"2068_0_20210616"
"41",0.75,1,0.75,0.857142857142857,0.5,"2069_0_20210621"
"42",0.8,0.666666666666667,1,0.8,0.75,"2069_1_20210705"
"43",0.444444444444444,1,0.444444444444444,0.615384615384615,0.5,"2069_2_20210825"
"44",0.3,0,NA,NA,0.452380952380952,"2071_0_20210705"
"45",0.416666666666667,0,NA,NA,0.357142857142857,"2072_0_20210706"
"46",0.888888888888889,1,0.888888888888889,0.941176470588235,0.5,"2073_0_20210703"
"47",1,1,1,1,NA,"2074_0_20210707"
"48",0.888888888888889,1,0.888888888888889,0.941176470588235,0.5,"2075_0_20210720"
"49",0.8,0.777777777777778,1,0.875,0.888888888888889,"2076_0_20210720"
"50",0.666666666666667,1,0.666666666666667,0.8,0.5,"2077_0_20210803"
"51",0.727272727272727,0.727272727272727,1,0.842105263157895,NA,"2078_0_20210803"
"52",0.533333333333333,1,0.533333333333333,0.695652173913044,0.5,"2078_1_20210817"
"53",0.571428571428571,0.375,0.75,0.5,0.760416666666667,"2080_0_20210816"
"54",0.916666666666667,1,0.916666666666667,0.956521739130435,0.5,"2081_0_20210817"
"55",0.6,1,0.6,0.75,0.625,"2082_0_20210907"
"56",0.692307692307692,1,0.692307692307692,0.818181818181818,0.5,"2083_0_20201214"
"57",0.714285714285714,0.25,0.5,0.333333333333333,0.8875,"2085_0_20200907"
"58",0.75,1,0.625,0.769230769230769,0.785714285714286,"2086_0_20200914"
"59",0.611111111111111,1,0.588235294117647,0.740740740740741,0.68125,"2087_0_20201012"
"60",0.727272727272727,0.666666666666667,1,0.8,0.805555555555556,"2088_0_20201123"
"61",0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285714,0.816326530612245,"2089_0_20201019"
"62",0.5,0,0,NA,0.428571428571429,"2090_0_20201130"
"63",0.571428571428571,0.75,0.6,0.666666666666667,0.416666666666667,"2091_0_20201029"
"64",0.727272727272727,0.75,0.857142857142857,0.8,0.645833333333333,"2092_0_20201109"
"65",0.764705882352941,0.916666666666667,0.785714285714286,0.846153846153846,0.816666666666667,"2093_0_20201109"
"66",0.785714285714286,0.8,0.888888888888889,0.842105263157895,0.7,"2094_0_20211109"
"67",0.9,1,0.9,0.947368421052632,0.5,"2095_0_20201116"
"68",0.538461538461538,0.428571428571429,0.6,0.5,0.654761904761905,"2096_0_20201116"
"69",0.5,1,0.363636363636364,0.533333333333333,0.7625,"2097_0_20201116"
"70",0.923076923076923,1,0.923076923076923,0.96,0.0833333333333333,"2098_0_20201106"
"71",0.833333333333333,1,0.714285714285714,0.833333333333333,0.857142857142857,"2099_0_20201116"
