"","X1","X2","X3","X4","X5","X6","X7"
"1",50,1,1e-04,0.5,0.5,1,1
"2",50,1,1e-04,0,0.5,2,1
"3",50,1,1e-04,0,0.5,1,1
"4",50,1,0.01,0,1,1,1
"5",50,1,1e-04,0,0.5,1,1
"6",50,1,1e-04,0,0.5,1,1
"7",50,1,1e-04,0,0.5,1,1
"8",50,1,0.001,0.5,0.5,2,1
"9",50,1,1e-04,0,1,1,1
"10",50,3,0.001,0,0.5,2,1
"11",100,2,1e-04,0,0.5,2,1
"12",50,2,1e-04,0,1,1,1
"13",50,1,0.001,0,0.5,1,1
"14",50,1,0,0,0.5,1,1
"15",50,1,0,0,0.5,1,1
"16",50,1,1e-04,0,0.5,2,1
"17",50,2,0.001,0.5,0.5,1,1
"18",50,1,0,0,0.5,1,1
"19",50,1,0,0,0.5,1,1
"20",50,1,0,0,0.5,1,1
"21",100,3,0.015,0,0.5,1,1
"22",50,2,1e-04,0,0.5,2,1
"23",50,1,0,0,0.5,1,1
"24",50,3,0.015,0,0.5,1,1
"25",50,1,1e-04,0,0.5,1,1
"26",50,1,1e-04,0,0.5,1,1
"27",50,1,1e-04,0,1,1,1
"28",50,1,0,0,0.5,1,1
"29",50,2,0.015,0,0.5,1,1
"30",50,1,0.001,0,1,1,1
"31",50,3,1e-04,0.5,0.5,2,1
"32",100,2,0.015,0,1,1,1
"33",50,1,1e-04,0,0.5,1,1
"34",100,1,0.015,0,0.5,1,1
"35",50,1,0,0,0.5,1,1
"36",50,1,1e-04,0,0.5,2,1
"37",50,1,1e-04,0.5,0.5,1,1
"38",50,1,1e-04,0,0.5,2,1
"39",50,1,1e-04,0,1,2,1
"40",50,1,1e-04,0,1,1,1
"41",50,1,0,0,0.5,1,1
"42",50,1,0.001,0,0.5,2,1
"43",50,1,0,0,0.5,1,1
"44",50,1,1e-04,0,0.5,2,1
"45",50,3,0.01,0.5,0.5,1,1
"46",50,1,0,0,0.5,1,1
"47",50,1,0,0,0.5,1,1
"48",50,1,0,0,0.5,1,1
"49",50,1,1e-04,0,1,1,1
"50",50,1,0,0,0.5,1,1
"51",50,2,0.015,0,0.5,1,1
"52",50,1,0,0,0.5,1,1
"53",100,1,1e-04,0.5,0.5,1,1
"54",50,1,0,0,0.5,1,1
"55",50,1,1e-04,0,0.5,1,1
"56",50,1,0,0,0.5,1,1
"57",50,2,0.01,0,1,1,1
"58",50,1,0.001,0.5,0.5,1,1
"59",100,3,0.01,0,0.5,1,1
"60",50,1,1e-04,0,0.5,1,1
"61",50,2,1e-04,0,0.5,1,1
"62",50,2,0.001,0,1,1,1
"63",50,1,0.01,0.5,0.5,2,1
"64",50,1,0.001,0.5,0.5,2,1
"65",50,2,0.01,0.5,0.5,1,1
"66",50,1,0.015,0,0.5,1,1
"67",50,1,0,0,0.5,1,1
"68",150,2,0.015,0,1,1,1
"69",50,3,0.001,0,1,1,1
"70",100,3,0.01,0.5,0.5,1,1
"71",50,1,1e-04,0,1,1,1
