"","accuracy","recall","precision","f1_score","auc","ID"
"1",0.6,1,0.6,0.75,1,"2000_0_20201230"
"2",0.666666666666667,0,NA,NA,0.277777777777778,"2001_0_20201102"
"3",0.785714285714286,1,0.7,0.823529411764706,0.86734693877551,"2001_1_20201117"
"4",1,1,1,1,NA,"2003_0_20210615"
"5",1,1,1,1,NA,"2005_0_20211201"
"6",0.8125,1,0.727272727272727,0.842105263157895,0.8359375,"2014_0_20201224"
"7",0.7,1,0.4,0.571428571428572,0.6875,"2014_1_20210317"
"8",0.785714285714286,1,0.7,0.823529411764706,0.785714285714286,"2015_0_20210203"
"9",0.785714285714286,0.8,0.888888888888889,0.842105263157895,0.9125,"2015_1_20210219"
"10",0.733333333333333,0.857142857142857,0.666666666666667,0.75,0.669642857142857,"2016_0_20201224"
"11",0.733333333333333,1,0.666666666666667,0.8,0.8125,"2017_0_20210102"
"12",0.733333333333333,0.857142857142857,0.666666666666667,0.75,0.714285714285714,"2017_1_20201118"
"13",0.636363636363636,1,0.636363636363636,0.777777777777778,0.5,"2018_0_20210420"
"14",1,1,1,1,NA,"2021_0_20211013"
"15",0.714285714285714,0.666666666666667,1,0.8,0.833333333333333,"2025_0_20210506"
"16",0.555555555555556,0.428571428571429,1,0.6,0.928571428571429,"2026_0_20210916"
"17",0.3,0.3,1,0.461538461538462,NA,"2027_0_20210521"
"18",0.625,1,0.625,0.769230769230769,0.5,"2030_0_20210531"
"19",0.777777777777778,1,0.777777777777778,0.875,0.5,"2031_0_20210601"
"20",0.5,0.857142857142857,0.545454545454545,0.666666666666667,0.242857142857143,"2037_0_20201221"
"21",0.526315789473684,0.692307692307692,0.642857142857143,0.666666666666667,0.378205128205128,"2045_0_20201216"
"22",0.545454545454545,0.375,1,0.545454545454545,0.875,"2046_0_20201216"
"23",0.769230769230769,1,0.769230769230769,0.869565217391304,0.5,"2047_0_20210420"
"24",0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.469387755102041,"2050_0_20210510"
"25",0.636363636363636,0.666666666666667,0.857142857142857,0.75,0.583333333333333,"2051_0_20210512"
"26",0.625,0.4,1,0.571428571428572,0.7,"2052_0_20210511"
"27",0.625,0.833333333333333,0.714285714285714,0.769230769230769,0.416666666666667,"2053_0_20210518"
"28",0.636363636363636,1,0.636363636363636,0.777777777777778,0.5,"2055_0_20210524"
"29",0.470588235294118,1,0.470588235294118,0.64,0.75,"2055_1_20201207"
"30",0.375,0,NA,NA,0.5,"2056_0_20210524"
"31",0.571428571428571,1,0.571428571428571,0.727272727272727,0.5,"2057_0_20210525"
"32",0.692307692307692,0.75,0.5,0.6,0.708333333333333,"2059_0_20210525"
"33",0.818181818181818,1,0.818181818181818,0.9,0.722222222222222,"2060_0_20201214"
"34",0.5,0.571428571428571,0.666666666666667,0.615384615384615,0.547619047619048,"2062_0_20210601"
"35",0.142857142857143,1,0.142857142857143,0.25,0.5,"2063_0_20210608"
"36",0.428571428571429,0,NA,NA,0.5,"2064_0_20210608"
"37",0.714285714285714,0.5,0.5,0.5,0.65,"2065_0_20210615"
"38",0.5,0,NA,NA,0.527777777777778,"2066_0_20210615"
"39",0.636363636363636,1,0.636363636363636,0.777777777777778,0.5,"2067_0_20210615"
"40",0.9,0.75,1,0.857142857142857,0.979166666666667,"2068_0_20210616"
"41",0.75,0.666666666666667,1,0.8,0.666666666666667,"2069_0_20210621"
"42",0.6,0.5,0.75,0.6,0.5625,"2069_1_20210705"
"43",0.666666666666667,0.75,0.6,0.666666666666667,0.7,"2069_2_20210825"
"44",0.4,0.285714285714286,0.666666666666667,0.4,0.5,"2071_0_20210705"
"45",0.416666666666667,0.285714285714286,0.5,0.363636363636364,0.228571428571429,"2072_0_20210706"
"46",0.888888888888889,1,0.888888888888889,0.941176470588235,0.5,"2073_0_20210703"
"47",1,1,1,1,NA,"2074_0_20210707"
"48",0.555555555555556,0.625,0.833333333333333,0.714285714285714,0.625,"2075_0_20210720"
"49",0.9,1,0.9,0.947368421052632,0.888888888888889,"2076_0_20210720"
"50",0.666666666666667,0.833333333333333,0.714285714285714,0.769230769230769,0.722222222222222,"2077_0_20210803"
"51",1,1,1,1,NA,"2078_0_20210803"
"52",0.666666666666667,0.875,0.636363636363636,0.736842105263158,0.696428571428571,"2078_1_20210817"
"53",0.571428571428571,0.25,1,0.4,0.916666666666667,"2080_0_20210816"
"54",0.916666666666667,1,0.916666666666667,0.956521739130435,0.5,"2081_0_20210817"
"55",0.6,1,0.6,0.75,0.5,"2082_0_20210907"
"56",0.615384615384615,0.666666666666667,0.75,0.705882352941177,0.555555555555556,"2083_0_20201214"
